LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_0_10,LOS_0_11,LOS_0_12,LOS_0_13,LOS_0_14,LOS_0_15,LOS_0_16,LOS_0_17,LOS_0_18,LOS_0_19,LOS_0_20,LOS_0_21,LOS_0_22,LOS_0_23,LOS_0_24
228542308.71953422,248727672.84331834,269049063.3969409,290160188.03534746,311580584.7562242,332437564.7333807,352179048.3419307,370061812.01463515,385832722.9474762,398607752.3958935,407953503.9539279,413506857.12020445,415203335.7759525,413404352.83673763,408856472.7256852,402170092.6889655,394100855.827133,385178666.8228348,374837005.35390884,362230786.91146064,346527076.0517816,326392089.25320446,301674657.1690804,272043637.9296442,237359394.0625857
232099508.002924,252731266.9547417,273532638.41599846,295179468.91980547,317189583.4994046,338688723.04931134,359134021.2618426,377794768.93024474,394441923.58272487,408202686.24618274,418641911.788971,425360739.5871189,428210958.07997614,427424242.8143851,423601239.524885,417238518.30770254,409015921.38452035,399435704.08621603,387939443.80364996,373784686.58418596,356339579.72595096,334509041.4030316,308304869.32165855,277412770.6407178,241621371.61470154
225613725.81335282,245453605.7281887,265419685.66809875,286161803.3394092,307223267.7685111,327766313.36442053,347289412.64249325,365116549.5506196,381092916.2031347,394451725.6493531,404879485.98481023,412068043.4955937,415827299.94371,416118094.6981974,413079663.16071105,407077571.21680653,399066754.0512486,389654907.3407848,377892551.5188912,362957116.72134554,344881305.01155835,323138269.8136403,297763587.6258666,268203752.54765835,234019328.7588281
214566801.2734341,232996768.48052913,251441591.07527673,270484207.14999855,289680733.9778183,308213512.0007205,325582668.119574,341115130.2023233,354642372.4624238,365420600.1290451,373179048.77603745,377712131.9300961,379070401.059791,377596269.00261,373844255.12381476,368088315.9744629,360740680.0385081,352224223.04925454,342221972.03668314,330367754.4975895,316242087.92253554,298669437.47412765,277281627.82505924,251424016.2904042,220689359.34683076
225708645.23448774,245554627.13538873,265522334.7080784,286257079.40181625,307293342.4033303,327778667.99352574,347183786.8934353,364790825.00049007,380373304.62305087,393072293.1460844,402466353.9321,408179097.2722884,410108725.46063983,408559363.92673665,404230243.7804622,397709190.7479569,389745428.12381,380867713.3559683,370491846.988972,357782439.67844325,341968078.109687,321839111.5863258,297338242.726373,268149628.67758045,234082743.355169
223706858.16541272,243117388.54818723,262551779.66403964,282619038.15040565,302837219.30634636,322348491.85602236,340627921.1772327,356985413.32407755,371255578.15190464,382700201.9739669,391068353.956457,396178768.49580586,398084877.57621336,397095805.0276834,393676660.673857,387988476.98769766,380347485.99941754,371140747.1256231,360118623.0895716,347063802.377893,331713212.2462138,312950497.22952956,290351874.9735251,263135827.37521207,230767893.4758248
234693193.25875166,255644390.9855257,276785313.98533094,298805025.2698785,321216126.8344135,343138171.35466194,364027811.149576,383156135.0349542,400302904.8068478,414596840.35213184,425594878.2663971,432865465.0269984,436189930.6092975,435717245.54581404,432003071.8714711,425581160.6623127,417216976.90434444,407440954.0962175,395597506.6419056,380850052.07136506,362595765.82605094,339884397.1766824,312851530.5135364,281201283.8051413,244687065.02561867
231832642.11135933,252402750.62672013,273121422.47815096,294651472.44264036,316496017.5796536,337762556.85651684,357882097.58201975,376098773.09631544,392159021.56326175,405190573.57154393,414794036.08184505,420658328.53625876,422761831.12478256,421460013.1073359,417397630.94766176,411009271.43240714,402872401.0337085,393456272.68359536,382327269.05644155,368883704.1350253,352494139.1390788,331844254.6813651,306661967.93663013,276485808.52399623,241118834.6138771
228936479.73082873,249057288.65547165,269265350.99295664,290197699.60970646,311357665.9677608,331861688.374797,351156703.1434456,368517112.8637404,383739002.62524325,396029237.38912696,405084594.7073108,410684590.05191046,412861096.1230323,411936420.5316031,408415137.05949587,402516502.1025857,394611788.85787576,385104548.4816698,373706506.3247134,360114376.45926934,343978778.9227831,324111165.4783362,300114777.2743601,271295098.70066786,237239543.70519602
226295460.56732532,246218810.182706,266273162.02565566,287111345.9190241,308274457.9521038,328921672.4029805,348548514.13132185,366474958.1508425,382538965.48990023,395955941.8068066,406372139.58514947,413404246.6072684,416753640.5134828,416361823.9120202,412580193.3227208,406055548.2692672,397945269.7746808,388922570.24356526,377914078.8782439,363754718.34885406,346081687.8499821,324385031.6338739,298900190.3399023,269181226.24055564,234820636.2442908
225901921.83021483,245692975.71128723,265571367.6271069,286170740.07111037,307015177.3096287,327246499.794832,346338723.9482629,363593785.6059517,378835065.59212554,391292717.1154744,400673982.80494606,406745085.607265,409500025.94189507,409186700.6692262,406211475.6633728,400690758.943239,392903317.58091015,383221651.6676844,371396642.0126085,357238465.3872199,340546792.92529637,320288428.7295205,296168670.27452785,267522318.8105194,233905079.57897803
214551206.42686123,233031378.02526107,251555145.87194574,270719525.7764701,290096438.0096048,308884923.16326755,326604050.69816804,342593215.1369204,356686724.0383054,368116091.68931186,376554260.97284025,381706019.8823073,383523215.3493187,382280188.25774884,378547494.4690183,372699840.5980765,365266929.3701683,356709042.20135355,346593270.0934607,334380278.2886919,319562111.79027885,301064866.78920656,278755833.4351626,252171238.93779895,220972579.555252
227742083.64061803,247842555.73478556,268084229.0804609,289126297.0384481,310505217.6383959,331373971.42363155,351223028.46060616,369367464.1216276,385644717.11774474,399276508.640467,409939253.75875074,417320559.3149039,421242525.6793174,421703225.0298851,418886066.4081645,413072926.79771054,405021406.7635174,395268962.3458033,383053689.708198,367732306.45819634,349301881.57557255,327161544.5259058,301328306.2981693,271256814.26974875,236521066.17190772
208000858.17682493,225629297.01450598,243234752.03855142,261380299.78912827,279656845.3199705,297294832.57607704,313849792.04594797,328712224.3770123,341785799.09773266,352406009.2469928,360365726.78024507,365478002.4279818,367753153.0021735,367395012.7137887,364738717.22775084,359803424.36828655,352769221.7031565,343982721.5222691,333247595.0559512,320504244.1943716,305695905.4559387,287966041.3250111,267065263.33649608,242279024.9382208,213032171.96855524
214178931.15772486,232618614.86956885,251103694.44570166,270233378.7718285,289586924.4496315,308374276.29961056,326131617.51512146,342219200.5463319,356496590.4271527,368208565.7366381,377010612.18422586,382530597.4388661,384574059.56663424,383276198.20800245,379213882.7937857,372988975.0382116,365460949.9585458,357202623.8942281,347475133.03529143,335347997.2587272,320201019.8344161,301212932.43587494,278534287.2542152,251786125.5830197,220576386.18149722
222693678.42157516,242143664.91813493,261675756.78691185,281910169.5251321,302375103.9139934,322210646.5602244,340868870.33327746,357613035.910213,372191888.0467502,383746178.33345646,391881060.3294177,396293078.2527264,396999024.9951824,394448185.260199,389461503.3543737,382684948.65172917,374887181.5509144,366606298.55455375,357298654.9001358,346110693.0138919,332132119.91606635,313895319.20478123,291089139.9459105,263294653.43417275,230359537.05204955
215488791.75634483,233873251.2229374,252213742.64152038,271078167.4030371,290005785.07635164,308168348.92001957,325064027.2667734,340029583.57042694,352921912.95165503,363044582.7409915,370189809.31628966,374219503.51139295,375236442.5430385,373598401.682289,369826009.4382255,364123105.8706885,356836973.0621914,348370160.05872077,338466828.8431641,326876770.9893878,313275635.8482264,296498242.15146327,276044234.4047982,251071066.58939826,220997524.15536028
229413808.91252473,249671721.54782966,270055261.9772409,291216146.08157444,312667188.7063434,333531799.4653327,353262506.0173214,371133432.4579401,386933956.98603827,399848575.0511216,409539173.3641678,415739900.84859,418434875.9666101,417904763.3569157,414628132.7760637,408818358.47924155,400844785.4728273,391108228.00478446,379303285.32422334,365111809.1822864,348197883.32232964,327429856.6781241,302523672.62278503,272894275.17398465,238203316.00007665
234789403.10506728,255752735.98144236,276906938.93914664,298942187.26609993,321372265.0692455,343319490.64210236,364247800.8653794,383442955.4089393,400716664.29380584,415250734.4663159,426682543.9453064,434652692.94426644,438880324.03681827,439215611.63066196,435716139.5472337,428983868.9095777,420461659.08945006,410922886.73274064,398962835.6028277,383278315.3797906,363912355.0232254,340481526.55926514,313131811.3206638,281365952.52431595,244804704.801626
202652755.57979214,219681307.48187935,236674185.22596392,254180211.404141,271816398.84392107,288844414.87419057,304847961.9826318,319244196.81825376,331955812.5811351,342331617.6188255,350156434.81420493,355205951.15680796,357434652.8677072,356997892.3569301,354245151.1713453,349283430.1952757,342404720.7637021,333995249.7515857,323751653.5043942,311467342.9360104,297025260.7782632,279667986.3005954,259289613.7842407,235263818.23370042,207029841.8002674
223137068.42214128,242673710.2011905,262319093.4286387,282712162.4602435,303404173.9685782,323568031.6758679,342711117.04775995,360166497.97535384,375783473.8554625,388794720.4784448,398862769.40148634,405620086.97876406,408791843.95117956,408341307.24621457,404627967.88219416,398254493.21757126,390298400.94975865,381406753.08035785,370579300.87891394,356735767.17063546,339524421.0357121,318413364.6102684,293609867.57058954,264650568.04832402,231108159.99395925
234579258.1263544,255511672.8973341,276628734.82012403,298615237.34445685,320978048.1489346,342827865.36573315,363605660.1789365,382562478.8392456,399450661.2249291,413378655.35842544,423902471.92242223,430633123.1454214,433449570.20188046,432619142.1494744,428757741.02942914,422346776.53271633,414036329.6280133,404317480.4704989,392668419.95609677,378381718.7778643,360814581.9219979,338792430.33133006,312260018.57089305,280892142.19539315,244513244.35304874
223262498.1399526,242814473.7705788,262476027.27408364,282886547.35861725,303596583.4322131,323777570.8763921,342933519.30667055,360389625.605609,375973429.93056977,388868399.7415578,398637609.66087025,404753160.3317297,406748760.80743986,404550102.8639708,398858199.07690805,390982889.8115334,382789571.61803555,375191634.7735025,366585280.29588634,354878580.36326903,339003737.06923866,318442818.059978,293780652.6032034,264825095.52323753,231255068.331616
231873004.7414113,252475916.23817027,273246125.0276848,294858186.4949329,316830537.6976122,338290449.50243783,358698286.9767164,377330285.88120127,393972671.96012723,407780215.5167211,418360727.0289921,425368015.4611909,428695481.88417256,428554542.2622532,425415176.28702503,419550447.9079687,411406719.704689,401407754.1616568,389162979.56772655,374237017.00286686,356251910.85952646,334174332.23685306,307923502.96827334,277073941.25230265,241348360.94815946
229411059.26367736,249684400.4130957,270091936.8575861,291289646.7928875,312795305.3041023,333738044.41129225,353578019.6551623,371596899.80139554,387592665.16456187,400754311.6126251,410743153.30623055,417283006.9677341,420336293.8506434,420146372.6903041,417142954.6189192,411489893.8268567,403513158.9306038,393598380.49152845,381458031.77331746,366827204.8445839,349441739.2737526,328241072.2307486,302991447.0795858,273124318.325612,238290813.1344027
222573485.33089498,242040460.752112,261611477.63957825,281922144.0098588,302523887.52191657,322589043.8849792,341620862.7552698,358944524.73469144,374394508.5065211,387189628.01907855,396991807.6377179,403483639.0296868,406561203.77316767,406399965.96174866,403423221.2155193,397856407.26435584,390107663.7030882,380592380.9657279,368932867.22148734,354752001.57349414,337759537.5276304,317043798.6014898,292552773.8340793,263810072.69818205,230438846.9038711
219582795.92751998,238542496.4095903,257514729.47955567,277090923.43893504,296799259.39838254,315790711.44720733,333539107.8779733,349349528.9862702,363042319.3682902,373869820.13820654,381574336.8082764,385980443.6645145,387172470.1680312,385526019.3325811,381609249.4296185,375693268.78674304,368187894.1428931,359514809.49425393,349375591.1365718,337424041.35753775,323237385.0305741,305573612.1026702,283957809.55666727,257636951.99274886,226152609.40192965
216330888.10596487,235030154.16160053,253786707.88664016,273206520.8118296,292857758.5059571,311935059.60749644,329957237.399756,346266014.97339195,360706158.8687308,372521699.6137247,381404002.4518345,387074239.0507922,389482693.6278083,388859422.978277,385669057.9460788,380142080.4112019,372669948.5101608,363665515.40464,352783283.4181291,339667191.1898671,323992055.48558503,304773621.72888446,281871202.8724404,254767327.92884126,223075175.10964713
230295790.05557638,250708799.1118381,271280816.0598556,292681945.00689423,314439702.9227926,335694307.9736549,355922403.2983647,374419569.7237588,390993722.93748236,404816259.9067791,415491556.15292555,422630862.45851004,426040907.14539415,425847001.6476936,422520169.6479618,416465513.14881426,408322245.9247208,398580579.25527275,386669139.41036654,371924326.14756876,353907523.5128913,331749461.26356053,305542822.3326531,274907407.951048,239520851.19282883
218340353.66102213,237289623.93458533,256313746.9833506,276030472.89830154,296006284.5975831,315434612.3229405,333840303.02331364,350575749.70412666,365509092.7952847,377909525.44023,387497514.5027817,394011150.41510195,397381979.2817898,397753128.54425126,395419149.67375743,390398365.9015494,382886817.60283464,373230493.7192287,361197981.49361455,346693830.9464221,329676687.19928,309338615.5598254,285564637.0581398,257766120.4862897,225469166.65118363
233567025.50687376,254380672.6328513,275376536.30725616,297239327.6655764,319486509.4797525,341244980.69745535,361980938.0421238,380979098.7655098,398037953.7695993,412306319.7280577,423346066.21286875,430684138.24431026,433970297.6923553,433203500.5730793,428924615.5333546,421949827.2505182,413503710.9283992,404275660.9653261,393189243.7258672,378906414.57852316,360734382.4325847,337999949.32570946,311052187.4758165,279608087.5730536,243367446.46475694
224440276.37238604,244136481.31779855,263950615.4847223,284527358.46735865,305413796.6373508,325777266.3438417,345120652.7875396,362772857.80507255,378583377.2993594,391791848.60591596,402090595.1739029,409173394.6005274,412838550.5286519,413008081.3784001,409764857.37532526,403555391.9611224,395543043.98438156,386409338.5842804,375004404.23162544,360321532.96729505,342445197.08793235,320920304.690192,295798233.4935241,266520476.96500006,232640020.12962157
221634042.1890424,240955901.09767193,260354884.37955916,280449376.0494578,300775967.87215775,320487521.74801433,339055180.00242895,355768013.234343,370413191.6407576,382178234.3045479,390717933.46471864,395761429.3265179,397317253.88858265,395744354.686632,391677924.4798176,385523646.2870632,377824724.97772217,369043800.2257748,358772170.5573051,346457882.83764255,331510349.7738278,312664003.7992404,289623241.1743913,261871357.06629792,229135077.23189193
223787829.21304864,243402404.40634304,263128382.3749379,283605297.4560043,304377951.2488377,324608246.31682473,343783859.9677132,361206148.42535806,376668806.545398,389328913.3781773,398764839.79014313,404571055.6422177,406589827.62982994,405067742.4792062,400697727.39492357,394131119.00921315,386210153.93916607,377495915.37778777,367311515.6417069,354707782.2052379,338889702.93246305,318762360.9616242,294391716.72652256,265498653.74887875,231854962.60536358
225443309.74755526,245224499.0526398,265105917.88096708,285721042.3499304,306592567.4287298,326855356.1981681,345965158.15572345,363195480.3403912,378322276.8690902,390518647.655496,399430819.6573722,404786010.1149244,406590475.1018936,405198600.158202,401227298.1822477,395057558.4036954,387210488.44001997,378139734.5646937,367452543.3792326,354627442.6517054,339102274.61629325,319605614.4413412,295827546.32942975,267239174.95562655,233572983.60030556
225646488.7083785,245478907.47305575,265427694.2571663,286133837.2127281,307125637.6482029,327541206.33089143,346834573.4172575,364265352.36458856,379572099.76468694,391857320.5319056,400661056.17307305,405588388.448428,406561307.81099594,403984075.8422304,398739191.2236894,391637751.7500303,383633144.804646,375323114.0701091,366008187.05542606,354580640.647043,339963974.89976037,320736543.44453716,296795406.63728786,267898256.95587477,233963277.83742672
