z_eff_0,z_eff_1,z_eff_2,z_eff_3,z_eff_4,z_eff_5,z_eff_6,z_eff_7,z_eff_8,z_eff_9,z_eff_10,z_eff_11,z_eff_12,z_eff_13,z_eff_14,z_eff_15,z_eff_16,z_eff_17,z_eff_18,z_eff_19,z_eff_20,z_eff_21,z_eff_22,z_eff_23,z_eff_24,z_eff_25,z_eff_26,z_eff_27,z_eff_28,z_eff_29,z_eff_30,z_eff_31,z_eff_32,z_eff_33,z_eff_34,z_eff_35,z_eff_36,z_eff_37,z_eff_38,z_eff_39,z_eff_40
11.728753,11.717856,11.685302,11.631303,11.556085,11.45989,11.342988,11.205748,11.049338,10.875421,10.68568,10.481827,10.265552,10.038528,9.802419,9.558809,9.309166,9.054888,8.797232,8.537253,8.273385,8.007755,7.7421103,7.4769764,7.212848,6.950038,6.6888046,6.424967,6.159079,5.895221,5.6331396,5.3727956,5.0864816,4.8006644,4.512688,4.147444,3.714238,3.3004847,2.467794,1.4685775,1.0364007
11.905512,11.852712,11.705225,11.479443,11.1918,10.858784,10.496924,10.122529,9.749118,9.388521,9.052507,8.751624,8.486473,8.252608,8.045513,7.860201,7.691072,7.532506,7.3796854,7.2289286,7.0744557,6.9150767,6.750527,6.5797234,6.402494,6.2188478,6.0290246,5.8294353,5.6209335,5.4078975,5.1906934,4.9699473,4.719899,4.4661317,4.206483,3.8699782,3.4666932,3.0806992,2.308898,1.397521,1.0246366
12.446564,12.44311,12.43225,12.413236,12.385324,12.3477745,12.299859,12.240877,12.170338,12.087881,11.993166,11.885861,11.765598,11.6319895,11.484666,11.323392,11.148096,10.958701,10.755312,10.53827,10.304265,10.055628,9.79465,9.522027,9.238779,8.945832,8.644179,8.328329,7.999797,7.6655374,7.3261046,6.982403,6.594049,6.2010922,5.8003073,5.2817736,4.6612663,4.0695515,2.9090989,1.563873,1.0387229
12.4194565,12.396968,12.331423,12.225714,12.082757,11.9054985,11.696924,11.460203,11.200038,10.922054,10.631905,10.3350725,10.035533,9.736468,9.440998,9.151381,8.868738,8.594032,8.3276415,8.069109,7.8152547,7.56659,7.3231797,7.083918,6.847881,6.614074,6.3816757,6.145618,5.905722,5.6657248,5.42508,5.1836796,4.913464,4.6412015,4.3642306,4.007054,3.5802014,3.172586,2.3625104,1.4104052,1.0251714
14.208273,14.196701,14.163467,14.110797,14.040927,13.956104,13.858594,13.750522,13.632385,13.503714,13.364042,13.212919,13.049806,12.874128,12.685325,12.483166,12.267843,12.039545,11.798549,11.545248,11.276166,10.993709,10.700121,10.395944,10.082014,9.759042,9.427819,9.082326,8.723938,8.359763,7.990157,7.6158895,7.193828,6.7663126,6.3294063,5.7649903,5.0898647,4.442948,3.156922,1.6444539,1.0253348
9.656641,9.625736,9.54229,9.420221,9.273467,9.115988,8.961748,8.823684,8.703924,8.598125,8.501857,8.41076,8.321041,8.229196,8.131778,8.026614,7.913176,7.791046,7.659971,7.519926,7.3685336,7.2071266,7.0370636,6.858677,6.6725492,6.4792075,6.2792554,6.0690565,5.849599,5.6254926,5.3971186,5.1651173,4.902448,4.635921,4.363238,4.0099483,3.5866234,3.181375,2.3715713,1.4157552,1.024667
12.933708,12.882449,12.740329,12.524855,12.2535715,11.944071,11.613981,11.280452,10.955302,10.6471405,10.364494,10.114742,9.895839,9.700973,9.523323,9.356772,9.196121,9.03627,8.873199,8.704426,8.5246525,8.334104,8.1337595,7.923405,7.70351,7.474614,7.2374063,6.9874167,6.7259035,6.4586005,6.1860304,5.9090242,5.594665,5.2757215,4.94953,4.526092,4.018486,3.533756,2.5776396,1.4640096,1.0246365
14.582154,14.56016,14.499936,14.410127,14.299389,14.176392,14.049815,13.927721,13.811573,13.698883,13.587118,13.473655,13.354959,13.227051,13.086009,12.929169,12.755498,12.564076,12.354423,12.1266575,11.87663,11.606988,11.320441,11.017831,10.70042,10.369375,10.02596,9.663823,9.284867,8.8974,8.502181,8.1004,7.644491,7.181733,6.7081485,6.0937223,5.3574705,4.653542,3.2689378,1.6598672,1.0246365
13.184494,13.081292,12.806524,12.412489,11.951555,11.476149,11.038704,10.68747,10.427134,10.236265,10.093087,9.976746,9.873984,9.775413,9.671817,9.55753,9.431512,9.2930355,9.141719,8.977651,8.798038,8.604706,8.399548,8.183184,7.9565043,7.720323,7.475522,7.2177386,6.94829,6.6729145,6.3921337,6.1067705,5.7836137,5.455617,5.119927,4.685127,4.1642804,3.665428,2.6717684,1.502211,1.0251808
11.814498,11.744732,11.553747,11.26905,10.918195,10.528798,10.128515,9.743802,9.388337,9.068111,8.78896,8.55544,8.36174,8.1968155,8.049682,7.912006,7.778914,7.64581,7.509306,7.367724,7.2174463,7.0587916,6.8926463,6.719023,6.5383215,6.3509364,6.1573596,5.954219,5.7423964,5.52613,5.305744,5.081811,4.8289213,4.57215,4.3091707,3.9693453,3.562454,3.1714115,2.3787863,1.4295844,1.0246794
