LOS_0_0,LOS_0_1,LOS_0_2,LOS_0_3,LOS_0_4,LOS_0_5,LOS_0_6,LOS_0_7,LOS_0_8,LOS_0_9,LOS_0_10,LOS_0_11,LOS_0_12,LOS_0_13,LOS_0_14,LOS_0_15,LOS_0_16,LOS_0_17,LOS_0_18,LOS_0_19,LOS_0_20,LOS_0_21,LOS_0_22,LOS_0_23,LOS_0_24
42269.87768901128,46588.93340609332,51057.38444183629,55715.56202355391,60506.82421639425,65337.91514354429,70150.7749563798,74873.19841783645,79468.70385707954,83799.3482579271,87739.66248979376,91162.7366902621,93938.23773304245,95903.51031799226,96880.7334155315,96642.47821627655,95067.11092084718,92113.03681897843,87804.69238579212,82390.14619200143,76091.26665656084,69150.5177920648,61767.721493846875,54062.156872941625,45926.24119760021
39569.77509571481,43423.96248402962,47340.59218153004,51335.06501012468,55329.862520584895,59214.52304344883,62908.23032981952,66323.11403114375,69403.3633251368,72024.04391053537,74098.06613683439,75582.85630795131,76483.97212524053,76920.953068748,77162.9420322607,76969.78242614743,75719.46866957142,73193.66288337772,70018.75021247852,66801.22086984277,63220.026641504075,59034.92518958061,54151.82617369076,48540.33750767608,42062.20395503708
35422.85811343656,38918.22692247619,42503.65168639133,46211.794482446116,49998.83116335349,53796.521374095246,57577.01709623289,61309.76939047326,65009.9823986499,68614.82605330861,72074.02211209718,75316.95736680696,78230.28324346819,80600.08689350529,82121.48522381646,82405.42880847616,81168.07067702216,78314.19209932661,73974.46462696657,68610.52904679516,62682.27969413095,56578.823050031315,50475.690791278095,44357.16341229902,37965.81105833861
43853.14794253184,48148.98515614182,52518.56872910306,56978.771557368134,61442.33745884899,65786.49624885186,69920.8002901907,73747.11997925754,77202.06931978252,80154.91044823635,82526.89781103046,84324.94112442505,85712.33178458792,86909.99908557345,87995.80302305745,88365.77660823293,87065.4496488244,83763.75682024738,79338.41887823094,74891.00726207276,70492.51618111166,65720.85832059698,60238.983931039824,53955.404294355634,46708.67534358869
42448.135979077146,46607.9483483338,50844.53415717689,55179.19496846285,59535.54312528976,63806.377374680735,67924.26283825713,71821.22556048661,75477.52614984103,78807.93764351925,81766.96842907002,84330.9027600166,86468.07253400309,88072.83933722938,88945.23234071292,88764.01196664393,87308.73944309089,84505.81726477342,80482.23987360296,75654.35593476995,70343.57904904052,64735.876281436635,58794.0983377148,52391.22222818582,45248.88621660962
45968.02276364415,50481.92143970729,55075.146176752416,59765.30946277042,64460.38502343915,69031.57399368632,73383.91268933404,77415.28561472056,81061.13911617632,84192.0375886265,86741.86428037754,88738.75936348127,90343.3234107496,91711.80276577928,92789.18145292053,92993.51023283393,91572.13075033561,88265.68157271548,83736.49588843976,78952.61178930374,74156.65967439688,69044.10049559866,63248.58575774255,56629.43438719551,49002.858576044346
48705.74965651882,53503.39897923449,58388.59795660069,63380.543985331155,68381.92696581158,73257.24706272567,77906.99988839483,82224.14724811738,86137.35389494414,89497.29184696496,92194.91396031262,94167.53706664633,95393.97940734836,95873.00107869682,95622.1395976362,94596.19368109094,92850.39621519628,90402.7722460436,87213.31905345786,83354.28516641514,78768.69765667687,73409.95365336262,67204.74428005473,60119.74895037729,51982.48568944053
62921.629150917266,69187.45871212034,75580.290638486,82125.7647049264,88696.77496527901,95120.55565588776,101271.80753234008,107018.90382647875,112274.96183861089,116862.66878014739,120654.97521768961,123581.26657737105,125608.4004753205,126696.78693235919,126788.75204356594,125724.48895467192,123479.28159740659,120039.9079481509,115414.88828335734,109825.66712440284,103328.0316043022,95942.17619594996,87576.6868984739,78154.84450314219,67421.87946505741
33048.096106636,36304.07352059233,39643.43413676282,43095.58700759151,46617.80106452563,50141.85257430234,53633.580085621965,57052.86434392862,60397.721850213165,63589.49381584106,66562.4309277876,69241.16623754146,71530.28971347686,73275.85441611623,74277.62376351615,74275.39527571348,73099.0814597664,70692.79878058693,67123.45980925797,62694.753337578295,57696.24508810193,52392.279430066556,46927.47318381725,41324.52224120762,35399.60241840286
43333.118181934566,47634.88463624813,52044.54788452628,56597.599110044146,61233.35407996469,65863.37360786337,70447.40746688923,74944.77269224261,79368.0670798594,83646.97514910896,87730.19891137506,91549.40403396811,94985.19827953291,97791.98196518661,99600.83361672214,99930.44970877738,98426.60826968121,94968.17563068007,89728.76246185385,83289.6524454075,76212.94422452227,68950.18401692294,61663.659140646756,54292.00431319522,46506.84661932508
